id,nom,pays,naissance,sexe
2453,Mary Steenburgen,USA,1953-02-08,F
2460,Randall Wallace,USA,1949-07-28,M
2461,Mel Gibson,USA,1956-01-03,M
2462,Catherine McCormack,UK,1972-04-03,F
2467,James Cosmo,UK,1948-05-24,M
2468,Sean McGinley,Ireland,1956-01-01,M
2472,Sean Lawlor,Ireland,1954-01-25,M
2478,Tommy Flanagan,Uni,1965-07-03,M
2479,Rupert Vansittart,UK,1958-02-10,M
2482,David O'Hara,UK,1965-07-09,M
2505,James Cromwell,USA,1940-01-27,M
2506,Alice Krige,Afrique du Sud,1954-06-28,F
2516,Anthony Zerbe,USA,1936-05-20,M
2518,Gregg Henry,USA,1952-05-06,M
2524,Tom Hardy,UK,1977-09-15,M
2535,Vivica A. Fox,USA,1964-07-30,F
2536,Michael Parks,USA,1940-04-24,M
2538,Chiaki Kuriyama,Japan,1984-10-10,F
2539,Julie Dreyfus,France,1966-01-24,F
2541,Jun Kunimura,Japan,1955-11-16,M
2542,Kazuki Kitamura,Japan,1969-07-17,M
2544,Akaji Maro,Giappone,1943-02-23,M
2545,Lawrence Bender,,1957-10-17,M
2555,David Proval,U.S.,1942-05-20,M
2565,Yves Montand,Italy,1921-10-13,M
2589,Terry George,UK,1952-12-20,M
2628,Kiefer Sutherland,UK,1966-12-21,M
2632,Chris Rock,USA,1965-02-07,M
2636,Alfred Hitchcock,UK,1899-08-13,M
2639,Eva Marie Saint,USA,1924-07-04,F
2659,Sol Gorss,U.S.A,1908-03-22,M
2698,Norman Lloyd,USA,1914-11-08,M
2701,George Martin,USA,1929-08-15,M
2710,James Cameron,Canada,1954-08-16,M
2712,Michael Biehn,USA,1956-07-31,M
2758,Timothy Carey,USA,1929-03-11,M
2829,Andrzej Seweryn,Germany,1946-04-25,M
2880,Emilio Estevez,USA,1962-05-12,M
2882,Diane Lane,USA,1965-01-22,F
2887,Tom Waits,USA,1949-12-07,M
2888,Will Smith,U.S.A.,1968-09-25,M
2954,Jeffrey Wright,USA,1965-12-07,M
2955,Chris Cooper,USA,1951-07-09,M
2960,Amr Waked,Cairo Egypt,1973-04-12,M
2963,Nicolas Cage,USA,1964-01-07,M
2970,Jocelyn Quivrin,France,1979-02-14,M
2974,Roger Yuan,USA,1961-01-25,M
2975,Laurence Fishburne,USA,1961-07-30,M
2978,Max Minghella,UK,1985-09-16,M
2983,Mark Strong,UK,1963-08-05,M
3019,Olympia Dukakis,USA,1931-06-20,F
3026,Rob Reiner,USA,1947-03-06,M
3037,Richard Dreyfuss,USA,1947-10-29,M
3039,Bradley Gregg,USA,1966-11-08,M
3051,Toni Collette,Australia,1972-11-01,F
3061,Ewan McGregor,UK,1971-03-31,M
3063,Tilda Swinton,UK,1960-11-05,F
3064,Peter Mullan,UK,1959-11-02,M
3075,Rory McCann,UK,1969-04-24,M
3084,Marlon Brando,USA,1924-04-03,M
3085,James Caan,USA,1940-03-26,M
3087,Robert Duvall,USA,1931-01-05,M
3088,Sterling Hayden,USA,1916-03-26,M
3092,Diane Keaton,USA,1946-01-05,F
3094,Talia Shire,USA,1946-04-25,F
3110,Allison Anders,U.S,1954-11-16,F
3124,Valeria Golino,Italy,1966-10-22,F
3125,Madonna,USA,1958-08-16,F
3127,Lili Taylor,USA,1967-02-20,F
3128,Alicia Witt,USA,1975-08-21,F
3129,Tim Roth,UK,1961-05-14,M
3131,Antonio Banderas,Spain,1960-08-10,M
3136,Salma Hayek,Mexico,1966-09-02,F
3137,Paul Calderon,Puerto Rico,1959-01-01,M
3140,Marc Lawrence,U.S.,1910-02-17,M
3141,Marisa Tomei,USA,1964-12-04,F
3150,Tony Curtis,USA,1925-06-03,M
3197,Tom Sizemore,USA,1961-11-29,M
3202,Edie McClurg,USA,1951-07-23,F
3211,Dale Dye,USA,1944-10-08,M
3217,Robert Swan,,1945-01-01,
3223,Robert Downey Jr.,USA,1965-04-04,M
3224,Stephen Frears,UK,1941-06-20,M
3229,Arliss Howard,USA,1954-10-18,M
3230,Todd Louiso,USA,1970-01-27,M
3234,Joan Cusack,USA,1962-10-11,F
3265,Eli Wallach,USA,1915-12-07,M
3288,Chris Weitz,New York,1969-11-30,M
3291,Hugh Grant,UK,1960-09-09,M
3292,Nicholas Hoult,UK,1989-12-07,M
3293,Rachel Weisz,UK,1970-03-07,F
3300,Natalia Tena,UK,1984-11-01,F
3337,Vince Edwards,USA,1928-07-09,M
3347,James Griffith,USA,1916-02-13,M
3359,Laurence Olivier,UK,1907-05-22,M
3392,Michael Douglas,USA,1944-09-25,M
3418,Vincent Schiavelli,USA,1948-11-11,M
3489,Naomi Watts,UK,1968-09-28,F
3490,Adrien Brody,USA,1973-04-14,M
3491,Thomas Kretschmann,Germany,1962-09-08,M
3493,Evan Parke,Jamaica,1968-01-02,M
3497,Kyle Chandler,USA,1965-09-17,M
3507,Claude Jade,France,1948-10-08,F
3508,Delphine Seyrig,Lebanon,1932-04-10,F
3509,Daniel Ceccaldi,France,1927-07-25,M
3513,André Falcon,France,1924-11-28,
3516,Serge Rousseau,France,1930-03-13,M
3517,Paul Pavel,France,1920-07-17,M
3533,Albert Simono,,,
3536,Marie-France Pisier,French Indochina,1944-05-10,F
3537,Rosy Varte,Ottoman Empire,1923-11-22,F
3540,Raoul Coutard,France,1924-09-16,M
3541,David Pittu,,1967-04-04,M
3548,Timothy Bateson,UK,1926-04-03,M
3556,Roman Polanski,France,1933-08-18,M
3568,Patrick Godfrey,UK,1933-02-13,M
3573,Daniel Boulanger,France,1922-01-24,M
3581,Philippe Léotard,France,1940-08-28,M
3591,Dani,,1945-10-01,F
3594,Julien Bertheau,France [now now Algeria],1910-06-19,M
3614,Michel Houellebecq,France,1956-02-26,M
3623,Elena Anaya,Spain,1975-07-17,F
3636,Paul Newman,USA,1925-01-26,M
3711,Anna Levine,USA,1955-09-18,F
3712,Saul Rubinek,Germany,1948-07-02,M
3713,Frances Fisher,UK,1952-05-11,F
3731,Marie Pillet,France,1941-07-20,F
3753,Giancarlo Giannini,Italy,1942-08-01,M
3776,Jean-Luc Godard,France,1930-12-03,M
3783,Brigitte Bardot,France,1934-09-28,F
3784,Michel Piccoli,France,1925-12-27,M
