id,nom,id,titre,annee,nbSpectateurs,idRealisateur,idGenre
80,Crime,6016,L'Homme de la Riviera,2003,,17016,80
10749,Romance,6114,Dracula,1992,26982836,1776,10749
12,Aventure,6116,"Spice World, le film",1997,12500000,47974,12
18,Drame,6187,Nettoyage à sec,1997,,48583,18
35,Comédie,6277,Wanted : Ils vont braquer l'Amérique,2003,,22007,35
12,Aventure,6312,Le Pacte des loups,2001,8844113,8296,12
28,Action,6415,Les Rois du désert,1999,13500000,17883,28
35,Comédie,6444,Tatie Danielle,1990,,20849,35
18,Drame,6479,Je suis une légende,2007,73168626,10943,18
28,Action,6950,Alerte !,1995,23732445,5231,28
80,Crime,6977,No Country For Old Men,2007,21453395,1223,80
28,Action,7007,Soleil levant,1993,13399848,648,28
28,Action,7010,Les Oies sauvages,1978,,51875,28
80,Crime,7291,36 quai des Orfèvres,2004,,52342,80
35,Comédie,7300,Un beau jour,1996,12191193,52405,35
28,Action,7451,xXx,2002,34681047,18878,28
18,Drame,7461,Angles d'attaque,2008,18895186,43141,18
18,Drame,7549,Le Maître d'armes,2006,871408,17268,18
28,Action,7551,Déjà vu,2006,22569693,893,28
27,Horreur,7978,Wolfman,2010,,4945,27
18,Drame,7979,Les Cerfs-Volants De Kaboul,2007,9159505,12995,18
14,Fantastique,7980,Lovely Bones,2009,11690698,108,14
18,Drame,7984,Au nom du père,1993,8224607,53334,18
18,Drame,7992,It's a Free World...,2007,,15488,18
12,Aventure,8009,Highlander,1986,737500,52968,12
14,Fantastique,8010,"Highlander, Le Retour",1991,1944542,52968,14
12,Aventure,8054,L'imaginarium du Docteur Parnassus,2009,8044075,280,12
18,Drame,8065,Las Vegas 21,2008,8727899,36797,18
18,Drame,8071,Tout va bien,1972,,3776,18
18,Drame,8072,Alphaville,1965,,3776,18
18,Drame,8129,My Name Is Joe,1998,,15488,18
28,Action,8195,Ronin,1998,8836512,13776,28
35,Comédie,8216,Les Feebles,1989,,108,35
35,Comédie,8265,Bienvenue chez les Ch'tis,2008,6648985,37627,35
28,Action,8266,Les femmes de l'ombre,2008,,48408,28
18,Drame,8279,Paris,2008,2943750,17520,18
35,Comédie,8290,La Grande Vadrouille,1966,,11195,35
12,Aventure,8358,Seul au monde,2000,53704017,24,12
14,Fantastique,8392,Mon voisin Totoro,1988,,608,14
18,Drame,8424,Jeux d'enfants,2003,,55379,18
35,Comédie,8434,Embrassez qui vous voudrez,2002,,21175,35
18,Drame,8470,John Q.,2002,12780596,11151,18
35,Comédie,8488,"Hitch, expert en séduction",2005,46012552,17167,35
28,Action,8656,Deep Impact,1998,43683083,51984,28
14,Fantastique,8698,La Ligue des Gentlemen Extraordinaires,2003,22408150,10808,14
35,Comédie,8736,Dikkenek,2006,,56225,35
18,Drame,8772,Le Dernier jour,2004,,55968,18
28,Action,8834,Complots,1997,17122854,7187,28
14,Fantastique,8840,Cœur de dragon,1996,14408421,18878,14
10751,Familial,8871,Le Grinch,2000,43142675,6159,10751
18,Drame,8892,Un conte de Noël,2008,919549,38883,18
14,Fantastique,8960,Hancock,2008,78003671,36602,14
12,Aventure,8961,Bad Boys II,2003,34167444,865,12
18,Drame,8999,Dérapage,2005,7184884,29605,18
37,Western,9023,"Spirit, l'étalon des plaines",2002,15320442,12079,37
35,Comédie,9037,Grease 2,1982,1896434,56755,35
18,Drame,9045,Amen.,2002,,27436,18
18,Drame,9075,Black book,2006,3274133,10491,18
28,Action,9103,Le Grand Tournoi,1996,7175068,15111,28
18,Drame,9289,Le Jour le plus long,1962,6262500,9894,18
35,Comédie,9298,Ali G,2002,3237500,57199,35
28,Action,9313,L'Homme au masque de fer,1998,22871112,2460,28
35,Comédie,9317,La soupe aux choux,1981,,39138,35
28,Action,9322,Nikita,1990,625000,59,28
28,Action,9342,Le Masque de Zorro,1998,31286065,10702,28
28,Action,9381,Babylon A.D.,2008,9013576,2406,28
27,Horreur,9406,Le Loup-garou de Paris,1997,3321307,58384,27
35,Comédie,9421,Le Dîner de cons,1998,9824938,38507,35
18,Drame,9443,Les Chariots de Feu,1981,7371613,58220,18
28,Action,9460,Black Mask,1996,,57832,28
12,Aventure,9487,1001 pattes,1998,45407357,7879,12
35,Comédie,9499,Le divorce,2003,1623999,54441,35
28,Action,9509,Man on Fire,2004,16286714,893,28
35,Comédie,9531,Superman III,1983,9481328,10586,35
35,Comédie,9557,Boat Trip,2002,1073297,57962,35
