id,titre,annee,nbSpectateurs,idRealisateur,idGenre
14462,Un Crime dans la tête,2004,12013245,16294,18
14645,Le Père Noël est une ordure,1982,,64909,35
14646,Un air de famille,1996,,17520,35
14648,Podium,2004,,112197,35
14765,MR 73,2008,,52342,80
14869,G.I. Joe : Le Réveil du Cobra,2009,37808627,7775,12
14949,Roman de gare,2007,,16862,18
15019,Trop jeune pour elle,2007,1197061,57434,35
15036,Eden à l'ouest,2009,,27436,18
15097,La Cité de la Peur,1994,,44554,35
15159,La Panthère rose 2,2009,9483879,21981,35
15362,Mesrine : L'Ennemi public n°1,2008,,58324,28
15371,Le Château de Cagliostro,1979,,608,12
15383,L'Armée des ombres,1969,92720,3831,10752
15390,Les Enfants terribles,1950,,3831,18
15457,Faubourg 36,2008,106321,43993,18
15588,OSS 117 : Rio ne répond plus,2009,,67717,80
15638,Le Premier cercle,2009,,78489,28
15709,De l'autre côté du lit,2008,,144812,35
16277,La Journée de la jupe,2008,,82289,18
16366,"Joseph, le roi des rêves",2000,,80698,10402
16869,Inglourious Basterds,2009,40181961,138,18
17227,Jacquou le Croquant,2007,,448563,12
17272,Ali G: Bling Bling,2001,,26205,35
17350,Brice de Nice,2005,,35959,35
17431,Moon,2009,1220013,81850,878
17578,Les aventures de Tintin : Le secret de la licorne,2011,46492508,488,12
17653,La Légende de Fong Sai-Yuk,1993,494614,35452,12
17809,Fist of Legend,1994,238467,64901,28
17813,Alex & Emma,2003,1921112,3026,35
17845,Loft,2008,,82418,18
17856,"Ali G, Aiii",2000,,26205,35
18419,3 zéros,2002,,74112,35
18457,Le Boulet,2002,,24886,35
18480,Brüno,2009,,6767,35
18487,L'Attaque du métro 123,2009,18770765,893,53
18628,Alexandre le bienheureux,1968,,25182,35
18897,Ne te retourne pas,2009,,19359,18
18906,"Musée haut, musée bas",2008,,83842,35
18940,Secret Défense,2008,,67716,53
19099,Le Cœur des hommes,2003,,144257,35
19100,Nos jours heureux,2006,,84426,35
19123,La Chèvre,1981,,38507,35
19178,La Traversée de Paris,1956,,37770,18
19268,Tellement proches,2009,,84425,35
19548,Le Grand Restaurant,1966,,84818,35
20106,Mais qui a tué Pamela Rose ?,2003,,85340,35
20200,Narco,2004,102907,54291,35
20626,Envoyés très spéciaux,2009,,21126,35
20649,Clockers,1995,1633939,5281,9648
20778,Le Doulos,1962,,3831,18
20912,She Hate Me,2004,45641,5281,35
21037,"Ali G, Innit",1999,,26205,35
21189,Lost in La Mancha,2002,,74647,99
21382,Le serpent,2006,,563586,53
21435,Les Bronzés 3 : Amis pour la vie,2006,,37626,35
21494,Molière,2007,,64575,10749
21776,Le Convoyeur,2004,,8373,28
21778,RRRrrrr!!!,2004,1756795,4275,35
21788,Les enfants de Timpelbach,2008,,967600,14
21861,LOL (Laughing Out Loud),2008,3931452,229568,35
22183,Angélique et le Roy,1966,,133271,12
22240,Ripoux contre ripoux,1990,,11201,28
22274,Caos Calmo,2008,,119356,10749
22650,Mélodie en sous-sol,1963,,34580,10749
23168,The Town,2010,19253267,880,80
23169,Remember me,2010,7004111,16834,18
23830,Last Night,2010,955617,90607,18
24260,Inspecteur La Bavure,1980,,11201,35
24583,Péril en la Demeure,1985,,39243,80
25205,Le Concert,2009,,20430,18
25500,Feux rouges,2004,,93903,53
25518,La belle verte,1996,,35208,35
25866,Le Corniaud,1965,,11195,35
26030,Bob le flambeur,1956,5126,3831,18
26252,Pépé le Moko,1937,19486,39058,80
